,Wolves,Sheep,Grass
0,10,50,207
1,10,50,192
2,10,49,184
3,10,53,172
4,10,53,161
5,11,57,151
6,11,58,145
7,11,59,138
8,11,57,136
9,11,54,132
10,11,57,133
11,11,60,132
12,11,60,130
13,11,60,135
14,11,56,133
15,12,59,135
16,12,51,133
17,12,50,136
18,12,47,129
19,12,46,129
20,12,44,133
21,12,48,142
22,12,38,130
23,12,36,141
24,12,33,174
25,12,32,184
26,12,30,184
27,12,32,176
28,12,33,184
29,13,30,192
30,13,28,201
31,13,25,217
32,13,24,207
33,13,23,217
34,13,23,217
35,13,22,222
36,13,23,213
37,13,22,222
38,14,21,224
39,14,22,227
40,14,22,227
41,16,23,215
42,16,27,232
43,16,29,220
44,16,29,220
45,16,29,218
46,16,26,215
47,14,23,229
48,14,23,229
49,14,27,227
50,14,30,224
51,14,29,224
52,12,29,213
53,12,27,214
54,12,28,204
55,12,27,197
56,12,28,199
57,12,27,198
58,12,34,198
59,12,36,209
60,12,34,201
61,12,35,196
62,13,35,191
63,13,35,206
64,13,38,198
65,14,41,195
66,14,46,200
67,14,37,189
68,14,37,189
69,14,39,187
70,16,36,185
71,16,37,183
72,16,39,192
73,17,36,184
74,17,36,187
75,18,33,201
76,18,35,196
77,18,35,183
78,19,35,191
79,19,30,181
80,19,30,182
81,19,28,203
82,19,28,197
83,20,21,200
84,22,21,205
85,22,19,208
86,22,18,203
87,22,21,222
88,22,25,221
89,22,24,212
90,22,25,231
91,23,25,233
92,23,27,224
93,23,27,226
94,23,27,223
95,23,31,238
96,23,33,225
97,23,26,227
98,23,27,226
99,24,30,239
100,24,31,231
101,25,31,228
102,23,32,221
103,23,34,210
104,23,38,203
105,23,43,190
106,23,42,193
107,21,44,190
108,22,46,188
109,23,44,184
110,22,45,173
111,22,39,169
112,22,42,178
113,23,42,174
114,23,44,177
115,23,47,170
116,22,47,160
117,22,40,160
118,22,40,173
119,21,38,170
120,21,43,178
121,21,41,179
122,21,35,184
123,21,33,189
124,21,33,180
125,20,33,191
126,20,33,193
127,19,30,194
128,20,30,206
129,20,30,211
130,20,27,199
131,19,30,197
132,20,27,193
133,20,29,193
134,20,30,202
135,20,32,208
136,21,32,199
137,21,32,199
138,21,29,206
139,21,31,227
140,22,29,223
141,22,26,217
142,23,27,222
143,23,30,222
144,23,27,220
145,23,27,224
146,23,27,215
147,23,26,219
148,22,27,225
149,22,28,214
150,23,30,224
151,23,28,213
152,23,30,226
153,21,33,226
154,21,33,223
155,22,32,207
156,22,33,205
157,22,34,198
158,21,37,202
159,21,36,189
160,21,38,190
161,21,39,181
162,21,40,180
163,20,40,172
164,19,35,183
165,19,36,171
166,20,38,174
167,20,34,185
168,20,30,188
169,20,33,180
170,20,33,194
171,20,31,199
172,20,33,189
173,19,32,196
174,19,29,193
175,18,36,217
176,18,40,214
177,18,38,216
178,18,36,197
179,19,31,193
180,19,30,208
181,17,32,205
182,15,36,195
183,15,36,210
184,15,38,202
185,15,35,193
186,15,35,194
187,15,38,193
188,16,41,192
189,16,44,185
190,16,39,173
191,16,43,166
192,16,45,168
193,16,46,157
194,16,49,149
195,16,51,155
196,16,43,155
197,16,39,147
198,16,36,170
199,16,40,174
200,16,39,170
201,16,41,171
202,16,40,168
203,16,41,164
204,16,41,166
205,17,39,161
206,17,37,172
207,17,39,163
208,17,42,174
209,17,40,162
210,17,35,172
