,Wolves,Sheep,Grass
0,10,50,197
1,11,48,184
2,12,49,170
3,13,48,160
4,13,47,153
5,13,48,151
6,14,46,163
7,15,45,158
8,16,43,156
9,16,41,156
10,17,38,156
11,18,39,154
12,19,39,151
13,19,37,144
14,19,37,156
15,18,34,151
16,19,33,155
17,20,35,157
18,22,33,162
19,24,28,158
20,25,23,166
21,24,23,160
22,24,21,190
23,27,21,185
24,27,18,214
25,24,18,223
26,23,18,222
27,25,19,215
28,26,17,225
29,27,15,240
30,27,15,245
31,30,15,239
32,33,16,245
33,32,14,252
34,31,14,259
35,33,16,259
36,35,13,268
37,34,11,279
38,33,10,285
39,31,10,291
40,24,10,290
41,23,9,292
42,22,9,287
43,23,9,294
44,23,9,293
45,22,9,305
46,22,9,301
47,22,9,306
48,25,8,312
49,23,7,310
50,23,8,312
51,23,8,321
52,23,8,317
53,24,10,320
54,22,10,317
55,21,10,318
56,18,11,319
57,18,11,315
58,17,12,314
59,18,12,315
60,13,12,316
61,9,13,313
62,8,13,318
63,8,13,316
64,9,13,317
65,9,13,313
66,10,13,319
67,7,12,311
68,8,12,315
69,6,12,311
70,7,13,310
71,7,12,306
72,7,12,300
73,8,12,296
74,8,11,295
75,7,11,297
76,7,12,294
77,8,12,296
78,5,12,297
79,5,12,296
80,5,13,295
81,5,12,290
82,5,14,293
83,5,14,291
84,6,14,288
85,7,15,278
86,5,16,276
87,5,16,275
88,5,17,274
89,5,16,270
90,5,16,263
91,5,16,269
92,5,16,271
93,6,16,273
94,6,16,277
95,3,16,277
96,2,16,273
97,2,17,279
98,2,18,270
99,2,19,269
100,2,19,267
101,2,19,262
102,2,19,253
103,2,19,250
104,3,19,256
105,5,19,255
106,6,19,255
107,7,19,246
108,6,18,247
109,3,20,243
110,3,21,252
111,2,21,250
112,2,23,245
113,1,23,240
114,1,23,237
115,1,25,239
116,1,25,235
117,1,26,241
118,1,29,234
119,1,29,235
120,1,31,235
121,1,31,227
122,1,32,241
123,1,32,239
124,1,36,241
125,1,36,229
126,1,36,237
127,1,37,230
128,0,38,230
129,0,38,224
130,0,37,226
131,0,35,211
132,0,36,215
133,0,36,211
134,0,36,209
135,0,37,205
136,0,40,202
137,0,40,191
138,0,41,186
139,0,42,173
140,0,45,172
141,0,48,156
142,0,48,164
143,0,50,157
144,0,50,144
145,0,49,150
146,0,50,134
147,0,51,130
148,0,53,133
149,0,52,135
150,0,53,126
151,0,52,130
152,0,54,138
153,0,55,139
154,0,55,141
155,0,55,150
156,0,57,145
157,0,57,145
158,0,55,144
159,0,54,141
160,0,56,130
161,0,52,141
162,0,51,149
163,0,55,149
164,0,55,155
165,0,52,154
166,0,51,156
167,0,51,178
168,0,49,166
169,0,47,166
170,0,47,162
171,0,47,166
172,0,48,165
173,0,46,165
174,0,50,152
175,0,49,160
176,0,51,151
177,0,50,150
178,0,47,150
179,0,48,149
180,0,47,164
181,0,49,159
182,0,51,153
183,0,52,142
184,0,51,147
185,0,50,147
186,0,50,141
187,0,49,144
188,0,51,134
189,0,52,119
190,0,54,136
191,0,53,128
192,0,56,137
193,0,57,127
194,0,59,121
195,0,56,118
196,0,58,121
197,0,54,130
198,0,55,133
199,0,55,124
200,0,57,131
201,0,55,117
202,0,57,116
203,0,57,118
204,0,56,126
205,0,55,142
206,0,60,147
207,0,57,130
208,0,59,125
209,0,59,151
210,0,59,149
211,0,61,138
212,0,63,123
213,0,59,117
214,0,60,128
215,0,60,116
216,0,57,130
217,0,58,119
218,0,57,115
219,0,58,112
220,0,57,109
221,0,59,123
222,0,60,106
223,0,61,117
224,0,63,106
225,0,62,94
226,0,61,115
227,0,61,98
228,0,59,101
229,0,57,111
230,0,55,115
231,0,56,105
232,0,54,110
233,0,54,114
234,0,52,120
235,0,53,136
236,0,55,135
237,0,53,138
238,0,53,141
239,0,52,134
240,0,50,155
241,0,49,145
242,0,49,148
243,0,47,147
244,0,46,165
245,0,50,155
246,0,51,157
247,0,52,163
248,0,52,143
249,0,51,150
250,0,50,161
251,0,51,145
252,0,53,142
253,0,52,154
254,0,54,152
255,0,56,150
256,0,56,152
257,0,55,144
258,0,56,150
259,0,55,134
260,0,52,139
261,0,53,139
262,0,54,142
263,0,54,135
264,0,55,148
265,0,55,129
266,0,54,127
267,0,53,136
268,0,55,144
269,0,51,133
270,0,52,136
271,0,51,141
272,0,51,127
273,0,52,125
274,0,52,127
275,0,53,132
276,0,50,149
277,0,48,154
278,0,48,142
279,0,48,134
280,0,47,136
