,Wolves,Sheep,Grass
0,10,50,206
1,12,72,188
2,13,107,169
3,15,151,162
4,21,172,130
5,24,179,111
6,29,202,81
7,33,187,66
8,36,134,53
9,43,119,51
10,47,82,52
11,57,58,48
12,65,57,53
13,78,43,61
14,90,29,68
15,100,15,79
16,120,10,87
17,126,5,101
18,128,3,105
19,107,3,114
20,115,4,120
21,107,3,119
22,103,1,147
23,99,2,203
24,79,2,202
25,62,3,240
26,58,4,266
27,66,5,300
28,54,7,336
29,42,9,339
30,36,9,344
31,14,11,341
32,16,11,352
33,19,16,363
34,16,17,356
35,8,18,350
36,6,27,346
37,6,30,338
38,8,32,325
39,9,36,318
40,11,42,309
41,11,55,300
42,15,62,282
43,17,65,268
44,19,71,251
45,23,85,228
46,20,95,218
47,13,101,198
48,17,96,179
49,20,100,159
50,25,98,149
51,23,84,137
52,26,75,124
53,28,93,114
54,26,47,116
55,25,41,121
56,27,39,118
57,21,41,116
58,22,47,106
59,20,48,111
60,18,49,114
61,17,41,126
62,13,32,121
63,12,32,134
64,7,39,158
65,7,38,147
66,8,35,175
67,12,34,185
68,14,43,192
69,15,58,177
70,13,57,205
71,17,57,187
72,15,70,199
73,16,93,189
74,20,98,165
75,22,99,152
76,20,106,142
77,18,80,122
78,19,78,115
79,21,92,116
80,25,87,105
81,32,91,92
82,31,83,91
83,36,73,86
84,43,61,81
85,41,52,66
86,44,67,74
87,49,61,70
88,50,62,61
89,47,44,83
90,47,35,94
91,48,24,108
92,49,16,122
93,40,13,118
94,45,19,155
95,45,27,170
96,41,33,160
97,33,44,188
98,41,43,173
99,39,58,174
100,36,67,175
101,34,80,188
102,30,67,167
103,36,80,160
104,33,90,166
105,39,81,156
106,44,72,142
107,52,74,139
108,58,68,155
109,68,49,154
110,75,51,141
111,83,48,138
112,90,37,136
113,93,28,131
114,92,34,126
115,91,29,131
116,98,30,121
117,108,35,121
118,106,37,122
119,97,40,144
120,83,42,134
121,88,51,159
122,94,45,152
123,76,26,163
124,82,33,178
125,74,27,189
126,78,21,220
127,90,24,228
128,90,34,225
129,86,38,212
130,85,44,219
131,87,46,204
132,69,49,199
133,58,70,190
134,61,75,185
135,49,66,178
136,56,74,174
137,48,72,160
