,Wolves,Sheep,Grass
0,10,50,188
1,15,57,173
2,29,66,167
3,54,76,159
4,98,84,147
5,171,76,139
6,185,72,133
7,222,55,129
8,297,44,139
9,347,38,137
10,405,28,135
11,308,22,137
12,284,19,145
13,224,11,150
14,194,7,162
15,163,8,169
16,102,4,190
17,79,4,198
18,87,4,204
19,56,1,211
20,33,2,221
21,30,3,219
22,39,3,240
23,16,3,268
24,14,4,290
25,12,6,288
26,0,8,321
27,0,8,333
28,0,9,333
29,0,10,328
30,0,11,350
31,0,13,352
32,0,14,347
33,0,14,344
34,0,17,341
35,0,18,332
36,0,19,323
37,0,21,316
38,0,22,313
39,0,22,304
40,0,26,296
41,0,32,292
42,0,33,281
43,0,39,273
44,0,39,264
45,0,41,252
46,0,45,240
47,0,53,234
48,0,52,222
49,0,49,214
50,0,48,211
51,0,48,205
52,0,54,203
53,0,48,196
54,0,48,190
55,0,44,180
56,0,48,178
57,0,53,183
58,0,54,172
59,0,56,163
60,0,56,159
61,0,59,153
62,0,66,155
63,0,69,141
64,0,74,136
65,0,71,128
66,0,65,139
67,0,71,138
68,0,75,138
69,0,80,139
70,0,84,130
71,0,79,116
72,0,68,101
73,0,76,96
74,0,63,110
75,0,65,98
76,0,68,100
77,0,57,115
78,0,53,109
79,0,46,114
80,0,35,124
81,0,32,131
82,0,32,138
83,0,36,146
84,0,31,153
85,0,31,163
86,0,32,186
87,0,32,189
88,0,34,176
89,0,49,191
90,0,52,195
91,0,56,183
92,0,51,209
93,0,52,196
94,0,52,192
95,0,55,203
96,0,57,190
97,0,65,172
98,0,62,168
99,0,62,163
100,0,64,139
101,0,67,135
102,0,64,121
103,0,68,115
104,0,68,105
105,0,74,104
106,0,73,98
107,0,66,88
108,0,60,91
109,0,53,107
110,0,46,99
111,0,47,118
112,0,48,123
113,0,44,115
114,0,49,119
115,0,49,125
116,0,53,129
117,0,45,162
118,0,43,163
119,0,39,164
120,0,44,155
121,0,47,172
122,0,44,191
123,0,44,195
124,0,45,180
125,0,46,197
126,0,52,200
127,0,60,179
128,0,67,175
129,0,67,151
130,0,69,136
131,0,75,140
132,0,81,131
133,0,82,115
134,0,72,119
135,0,72,108
136,0,67,111
137,0,57,105
138,0,57,111
139,0,55,102
140,0,43,114
141,0,43,111
142,0,45,109
143,0,49,101
144,0,56,95
145,0,58,98
146,0,57,114
147,0,56,106
148,0,54,120
149,0,54,155
150,0,49,148
151,0,50,160
152,0,39,174
153,0,44,178
154,0,50,164
155,0,47,165
156,0,40,165
157,0,49,183
158,0,48,178
159,0,49,167
160,0,49,160
161,0,48,162
162,0,52,162
163,0,53,163
164,0,56,172
165,0,52,158
166,0,54,157
167,0,53,156
168,0,51,154
169,0,50,160
170,0,46,157
171,0,45,150
172,0,45,140
173,0,52,148
174,0,56,167
175,0,52,163
176,0,52,148
177,0,60,148
178,0,69,154
179,0,64,141
180,0,72,143
181,0,65,125
182,0,61,126
183,0,61,137
184,0,59,136
185,0,60,124
186,0,59,121
187,0,65,116
188,0,61,123
189,0,57,124
190,0,58,122
191,0,56,114
192,0,50,122
193,0,49,126
194,0,43,135
195,0,50,140
196,0,52,149
197,0,47,140
198,0,45,158
199,0,41,148
200,0,39,177
201,0,43,167
202,0,47,181
203,0,47,176
204,0,52,165
205,0,55,182
206,0,52,166
207,0,53,174
208,0,54,190
209,0,44,180
210,0,48,180
211,0,51,175
212,0,57,173
213,0,62,153
214,0,65,146
215,0,64,145
216,0,60,129
217,0,64,129
218,0,57,123
219,0,62,115
220,0,71,90
221,0,77,94
222,0,79,96
223,0,66,103
224,0,63,107
225,0,63,116
226,0,66,103
227,0,58,114
228,0,59,106
229,0,54,126
230,0,55,124
231,0,52,106
232,0,51,112
233,0,54,144
234,0,49,129
235,0,55,153
236,0,60,154
237,0,60,156
238,0,51,161
239,0,43,148
240,0,38,180
241,0,39,169
242,0,40,164
243,0,43,159
244,0,51,157
245,0,57,171
246,0,50,160
247,0,45,163
248,0,46,172
249,0,50,165
250,0,47,152
251,0,43,151
252,0,49,165
253,0,61,161
254,0,63,158
255,0,64,150
256,0,65,133
257,0,64,146
258,0,65,139
259,0,66,138
260,0,69,134
261,0,73,119
262,0,76,121
263,0,72,107
264,0,71,107
265,0,73,115
266,0,65,105
267,0,66,113
268,0,61,101
269,0,52,106
270,0,49,115
271,0,43,122
272,0,47,139
273,0,48,141
274,0,47,149
275,0,44,153
276,0,43,141
277,0,44,164
278,0,42,156
279,0,41,176
280,0,43,166
281,0,43,171
282,0,43,171
283,0,44,192
284,0,39,184
285,0,48,194
286,0,51,191
287,0,49,176
288,0,48,176
289,0,51,180
290,0,53,171
291,0,55,159
292,0,63,159
293,0,64,146
294,0,67,132
295,0,77,126
296,0,77,128
297,0,62,135
298,0,60,121
299,0,64,120
300,0,61,118
301,0,60,117
302,0,56,115
303,0,53,115
304,0,51,115
305,0,46,108
306,0,58,122
307,0,67,128
308,0,61,126
309,0,54,119
310,0,52,126
311,0,52,140
312,0,49,131
313,0,56,161
314,0,52,163
315,0,52,167
316,0,51,154
317,0,47,147
318,0,49,161
319,0,53,157
320,0,58,159
321,0,54,141
322,0,49,150
323,0,54,133
324,0,56,140
325,0,59,143
