,Wolves,Sheep,Grass
0,30,150,201
1,30,152,144
2,30,144,99
3,30,146,88
4,31,146,80
5,32,140,69
6,33,126,57
7,33,124,55
8,34,119,51
9,36,98,45
10,36,86,53
11,36,78,52
12,37,71,65
13,39,52,70
14,40,50,78
15,41,47,83
16,41,48,83
17,41,33,91
18,42,26,96
19,46,22,102
20,48,21,102
21,51,17,98
22,53,15,162
23,57,13,238
24,57,12,230
25,58,12,261
26,60,12,257
27,59,12,278
28,62,11,274
29,58,11,276
30,58,10,292
31,61,8,288
32,61,7,293
33,62,6,290
34,61,5,301
35,58,4,308
36,62,5,311
37,62,5,315
38,58,4,316
39,57,4,321
40,55,4,324
41,53,4,328
42,56,4,327
43,59,4,329
44,57,3,334
45,58,3,345
46,60,2,347
47,56,2,347
48,58,2,352
49,56,2,361
50,55,2,365
51,53,3,364
52,51,3,369
53,51,2,368
54,51,2,369
55,50,2,372
56,43,2,372
57,41,1,375
58,42,1,374
59,43,1,376
60,40,2,376
61,41,2,376
62,37,2,375
63,36,2,374
64,30,2,377
65,31,2,377
66,28,2,375
67,27,2,375
68,28,3,375
69,25,3,373
70,24,3,375
71,23,3,375
72,25,3,375
73,20,3,378
74,19,3,378
75,18,3,377
76,14,3,376
77,11,3,375
78,12,3,373
79,11,4,371
80,11,4,369
81,12,4,369
82,11,4,369
83,10,4,367
84,10,4,367
85,9,4,366
86,9,4,366
87,7,4,364
88,7,4,362
89,5,4,360
90,4,4,361
91,2,4,359
92,1,4,360
93,1,4,359
94,1,4,360
95,1,4,360
96,1,4,363
97,1,4,362
98,1,4,362
99,1,4,362
100,1,4,366
101,0,4,364
102,0,5,363
103,0,5,364
104,0,5,362
105,0,5,363
106,0,5,362
107,0,6,363
108,0,6,362
109,0,7,357
110,0,7,355
111,0,7,351
112,0,7,352
113,0,8,350
114,0,8,347
115,0,8,344
116,0,8,342
117,0,8,338
118,0,8,333
119,0,8,333
120,0,10,334
121,0,11,333
122,0,11,332
123,0,11,331
124,0,11,327
125,0,11,326
126,0,12,325
127,0,13,321
128,0,15,316
129,0,17,318
130,0,17,309
131,0,17,308
132,0,17,305
133,0,20,297
134,0,19,300
135,0,19,297
136,0,18,295
137,0,18,289
138,0,21,288
139,0,25,280
140,0,25,271
141,0,27,266
142,0,28,264
143,0,29,252
144,0,29,247
145,0,31,231
146,0,29,233
147,0,35,224
148,0,36,218
149,0,33,212
150,0,34,206
151,0,36,205
152,0,36,205
153,0,40,199
154,0,42,203
155,0,43,198
156,0,42,190
157,0,45,184
158,0,49,185
159,0,51,173
160,0,53,171
161,0,55,171
162,0,55,179
163,0,54,161
164,0,53,167
165,0,55,149
166,0,53,162
167,0,54,153
168,0,56,147
169,0,54,132
170,0,53,131
171,0,54,145
172,0,55,143
173,0,57,136
174,0,57,150
175,0,61,141
176,0,61,137
177,0,63,138
178,0,59,129
179,0,63,125
180,0,55,124
181,0,54,129
182,0,53,136
183,0,53,121
184,0,53,130
185,0,50,138
186,0,52,160
187,0,55,150
188,0,53,180
189,0,51,177
190,0,49,175
191,0,48,172
192,0,48,172
193,0,50,162
194,0,51,144
195,0,50,135
196,0,50,145
197,0,50,135
198,0,47,149
199,0,46,137
200,0,49,151
201,0,49,140
202,0,48,134
203,0,51,137
204,0,54,140
205,0,52,146
206,0,53,144
207,0,52,133
208,0,55,139
209,0,57,126
210,0,57,144
211,0,53,129
212,0,53,144
213,0,54,130
214,0,51,147
215,0,51,130
216,0,50,133
217,0,48,137
218,0,49,133
219,0,51,147
220,0,51,138
221,0,53,149
222,0,53,134
223,0,51,145
224,0,51,141
225,0,50,143
226,0,50,137
227,0,52,135
228,0,52,124
229,0,55,133
230,0,53,121
231,0,52,127
232,0,51,135
233,0,52,124
234,0,51,131
235,0,54,134
236,0,55,155
237,0,55,151
238,0,57,153
239,0,59,151
240,0,59,145
241,0,60,144
242,0,57,148
243,0,53,133
244,0,53,129
245,0,54,145
246,0,57,153
247,0,59,150
248,0,54,145
249,0,55,133
250,0,55,135
251,0,55,139
252,0,58,128
253,0,58,129
254,0,59,136
255,0,57,139
256,0,49,136
257,0,47,126
258,0,47,133
259,0,49,148
260,0,47,136
261,0,49,146
262,0,50,160
263,0,46,161
264,0,45,144
265,0,46,148
266,0,45,153
