,Wolves,Sheep,Grass
0,10,50,198
1,11,52,182
2,11,55,181
3,11,57,180
4,11,53,164
5,12,51,152
6,12,50,144
7,12,51,144
8,12,49,136
9,12,47,127
10,12,49,131
11,13,48,134
12,13,47,138
13,16,44,142
14,16,43,138
15,16,43,139
16,16,42,140
17,16,41,137
18,17,38,135
19,17,39,137
20,17,40,138
21,17,35,156
22,18,36,147
23,20,37,169
24,21,34,170
25,22,32,159
26,21,32,167
27,22,31,178
28,20,33,183
29,21,34,205
30,22,34,194
31,24,34,189
32,24,33,198
33,25,33,202
34,26,31,192
35,29,31,208
36,31,31,208
37,35,27,209
38,37,24,216
39,38,24,216
40,39,24,220
41,39,22,216
42,33,21,228
43,33,21,219
44,32,20,224
45,32,20,245
46,28,19,235
47,27,19,244
48,29,20,235
49,30,20,244
50,27,20,247
51,25,20,241
52,22,20,254
53,23,20,254
54,23,20,252
55,23,18,244
56,19,17,249
57,17,17,245
58,15,18,250
59,14,17,252
60,14,18,254
61,14,18,248
62,15,18,249
63,15,18,252
64,11,16,254
65,11,17,252
66,11,17,260
67,11,15,257
68,11,15,273
69,11,16,265
70,6,17,277
71,5,18,274
72,5,19,273
73,5,19,267
74,5,18,271
75,5,19,278
76,5,21,280
77,5,21,283
78,5,21,274
79,5,20,270
80,5,19,272
81,6,18,277
82,6,17,273
83,6,16,265
84,6,16,261
85,6,16,264
86,6,15,266
87,6,16,272
88,6,17,265
89,6,17,270
90,8,16,269
91,7,16,271
92,7,14,262
93,8,13,269
94,8,12,267
95,9,11,265
96,9,11,258
97,9,10,258
98,8,10,268
99,9,10,272
100,9,9,268
101,10,11,268
102,8,12,276
103,8,13,267
104,8,14,269
105,7,14,271
106,8,15,262
107,9,16,267
108,9,16,269
109,8,16,269
110,8,16,263
111,7,16,272
112,6,16,274
113,6,17,277
114,6,17,273
115,6,16,281
116,7,15,285
117,5,15,286
118,5,15,279
119,4,16,283
120,5,15,282
121,5,15,281
122,5,15,274
123,5,14,280
124,6,17,271
125,7,18,278
126,7,19,278
127,6,21,267
128,4,22,265
129,4,22,264
130,2,23,254
131,2,23,252
132,2,23,246
133,2,23,251
134,2,24,241
135,3,25,236
136,3,26,227
137,3,28,220
138,3,29,216
139,4,31,215
140,4,28,216
141,4,29,216
142,4,28,209
143,5,28,208
144,3,27,218
145,1,29,219
146,2,27,217
147,2,28,225
148,2,29,215
149,2,27,216
150,2,27,228
151,3,28,218
152,3,29,225
153,3,29,222
154,3,26,224
155,4,26,215
156,4,26,221
157,4,27,232
158,4,26,223
159,4,27,232
160,4,28,223
161,4,28,227
162,4,28,227
163,4,30,225
164,4,29,225
165,3,32,228
166,4,32,227
167,5,32,217
168,6,32,205
169,6,34,214
170,7,33,214
