,Wolves,Sheep,Grass
0,10,50,203
1,11,56,195
2,12,60,180
3,12,61,170
4,14,67,148
5,15,70,132
6,17,72,124
7,17,74,115
8,19,76,110
9,20,75,99
10,21,78,89
11,22,76,90
12,24,77,96
13,23,67,90
14,25,67,88
15,26,63,82
16,27,67,80
17,28,66,86
18,26,63,87
19,24,50,91
20,26,41,93
21,28,32,88
22,31,31,128
23,32,27,119
24,31,22,136
25,32,21,164
26,32,18,182
27,33,15,194
28,34,11,208
29,38,13,244
30,41,14,235
31,42,14,245
32,44,15,250
33,44,18,256
34,44,17,252
35,44,14,257
36,47,14,278
37,42,13,273
38,34,13,290
39,35,13,285
40,35,14,296
41,39,16,293
42,39,12,295
43,33,14,299
44,30,16,311
45,31,16,308
46,30,18,303
47,30,14,305
48,28,12,303
49,26,14,305
50,29,17,309
51,23,21,307
52,23,19,300
53,21,17,304
54,23,14,300
55,20,16,296
56,18,15,294
57,18,17,297
58,16,18,292
59,15,16,291
60,16,18,291
61,15,17,287
62,16,17,285
63,14,18,280
64,11,17,275
65,11,17,271
66,10,19,280
67,8,18,284
68,10,19,282
69,10,18,284
70,11,20,285
71,10,21,283
72,10,22,293
73,11,22,285
74,9,23,287
75,9,25,284
76,12,26,284
77,8,25,284
78,6,26,281
79,7,26,272
80,5,27,266
81,5,25,267
82,5,26,262
83,5,26,253
84,5,26,244
85,5,27,246
86,2,28,241
87,2,33,238
88,2,36,232
89,2,37,226
90,3,33,218
91,3,31,223
92,4,27,219
93,4,27,205
94,5,30,205
95,5,35,202
96,6,37,203
97,6,38,205
98,7,42,203
99,7,48,189
100,7,49,187
101,6,48,184
102,7,51,182
103,7,57,176
104,8,60,171
105,8,58,171
106,6,62,166
107,6,56,167
108,7,55,166
109,8,55,162
110,8,44,162
111,10,45,165
112,11,42,162
113,12,45,165
114,13,43,152
115,14,41,158
116,15,39,161
117,16,41,169
118,17,37,160
119,19,34,173
120,20,34,179
121,18,36,173
122,17,30,182
123,19,28,187
124,17,26,206
125,19,27,213
126,19,27,210
127,18,26,202
128,19,28,220
129,21,24,211
130,21,23,218
131,22,26,222
132,23,19,211
133,21,19,228
134,23,18,220
135,23,18,236
136,23,19,237
137,23,17,232
138,22,17,234
139,23,14,229
140,24,16,236
141,24,17,242
142,22,18,236
143,22,18,244
144,19,18,251
145,20,19,254
146,17,20,263
147,14,18,250
148,15,18,255
149,15,20,254
150,15,23,246
151,14,25,254
152,17,27,249
153,16,26,240
154,18,28,243
155,15,28,233
156,14,31,239
157,13,31,237
158,13,31,226
159,14,32,222
160,16,32,215
161,17,36,205
162,17,35,206
163,18,37,202
164,17,37,185
165,20,39,181
166,21,36,181
167,22,36,179
168,23,36,184
169,23,38,192
170,21,35,182
171,22,33,187
172,20,32,188
173,21,27,202
174,21,22,214
175,18,18,209
176,18,19,223
177,16,18,230
178,14,18,235
179,16,19,227
180,17,22,245
181,19,22,251
182,21,23,240
183,22,24,253
184,23,25,260
185,22,25,250
186,19,26,252
187,15,26,250
188,15,25,237
189,12,29,248
190,14,31,249
191,14,33,244
192,13,34,240
193,15,38,240
194,16,37,237
195,16,38,229
196,15,35,219
197,15,39,221
198,15,38,211
199,15,37,202
200,15,38,199
201,15,37,189
202,15,36,186
203,16,35,188
204,15,35,187
205,17,39,176
206,17,42,177
207,17,43,186
208,19,45,193
209,20,42,191
210,21,40,186
211,21,41,176
212,22,35,177
213,20,37,174
214,22,35,179
215,26,29,179
216,27,26,170
217,29,25,171
218,25,25,174
219,26,25,182
220,26,23,185
221,27,25,201
222,25,25,199
223,26,26,190
224,22,27,207
225,21,28,203
226,22,27,213
227,25,28,205
228,26,25,217
229,21,27,217
230,21,25,213
231,23,22,222
232,23,22,223
233,25,20,226
234,22,22,225
235,20,23,237
236,19,25,235
237,19,27,238
238,19,30,234
239,22,32,223
240,24,32,222
241,25,31,216
242,21,32,203
243,24,34,204
244,26,32,199
245,24,32,199
246,25,33,194
247,27,33,190
248,24,32,188
249,20,32,178
250,20,30,186
251,15,31,184
252,12,33,172
253,12,36,181
254,12,37,172
255,14,35,182
256,15,35,178
257,17,33,168
258,20,37,164
259,18,37,159
260,21,37,163
261,18,42,182
262,17,41,167
263,17,47,178
264,17,47,180
265,17,47,167
266,19,47,169
267,20,46,174
268,20,41,182
269,21,42,179
270,18,45,174
271,18,42,173
272,17,42,164
273,19,39,175
274,18,39,167
275,15,36,169
276,18,33,185
277,18,28,187
278,18,29,192
279,20,31,202
280,22,27,195
281,20,29,188
282,21,27,192
283,18,27,208
284,18,26,209
285,20,23,198
286,19,23,212
287,19,26,217
288,22,27,211
289,20,28,227
290,20,34,229
291,20,34,220
292,18,28,219
293,17,28,217
294,18,27,224
295,18,25,222
296,19,26,214
297,20,27,221
298,16,27,209
299,16,28,208
300,16,30,215
301,16,32,210
302,17,38,202
303,18,38,200
304,19,39,208
305,19,33,216
306,20,27,218
307,21,30,218
308,22,29,206
309,21,25,203
310,21,26,205
311,22,25,206
312,19,27,219
313,18,29,221
314,19,32,210
315,22,34,217
316,25,34,217
317,23,31,209
318,19,33,210
319,20,30,216
320,18,28,217
321,17,28,214
322,16,25,213
323,14,25,221
324,14,24,218
325,14,26,212
326,13,28,226
327,15,28,214
328,15,28,225
329,13,25,230
330,13,25,233
331,15,25,226
332,15,26,229
333,16,23,223
334,16,23,233
335,16,23,239
336,16,20,238
337,17,22,229
338,19,21,226
339,19,23,235
340,18,20,228
341,19,21,237
342,20,21,231
343,16,25,236
344,17,23,234
345,19,25,236
346,21,25,242
347,22,26,250
348,24,27,248
349,23,26,247
350,21,28,247
351,20,25,249
352,18,25,241
353,17,28,251
354,17,27,253
355,14,28,248
356,13,26,238
357,13,26,249
358,13,27,238
359,14,28,246
360,12,28,248
361,13,28,242
362,14,27,244
363,14,23,244
364,15,26,243
365,17,31,254
366,19,28,251
367,21,24,248
368,21,23,248
369,20,23,247
370,20,21,239
371,18,19,239
372,20,20,247
373,16,23,241
374,16,25,247
375,15,21,249
376,16,19,244
377,14,20,251
378,14,23,241
379,15,23,250
380,16,24,243
381,15,26,239
382,18,26,228
383,17,27,226
384,18,28,235
385,20,31,231
386,16,29,219
387,14,31,232
388,15,32,228
389,14,32,219
390,13,31,214
391,14,30,202
392,15,33,197
393,14,34,203
394,12,42,206
395,13,43,199
396,14,42,191
397,12,45,189
398,12,43,185
399,13,43,173
400,14,42,176
401,17,47,172
402,18,50,152
403,17,50,145
404,16,49,148
405,14,46,142
406,15,44,146
407,17,48,144
408,21,47,138
409,21,50,143
410,21,50,151
411,23,50,168
412,23,43,165
413,24,43,157
414,25,44,156
415,27,43,154
416,26,37,147
417,23,35,155
418,22,34,175
419,21,32,163
420,23,27,166
421,25,27,187
422,21,28,200
423,19,33,203
424,23,34,192
425,24,36,212
426,26,32,205
427,24,30,196
428,24,33,199
429,25,32,195
430,27,32,185
431,25,31,193
432,27,33,189
433,25,34,206
434,28,37,197
435,26,36,204
436,29,35,200
437,29,29,199
438,29,37,188
439,30,33,204
440,28,33,193
441,26,33,204
442,20,34,201
443,22,35,186
444,19,37,197
445,20,38,184
446,21,35,198
447,21,35,192
448,22,40,182
449,23,43,185
450,25,40,196
451,23,40,192
452,18,44,186
453,18,42,172
454,20,43,181
455,20,45,173
456,20,37,167
457,22,38,179
458,23,37,181
459,26,37,174
460,30,31,167
461,34,29,171
462,28,32,173
463,29,28,190
464,29,23,185
465,28,19,194
466,29,18,199
467,30,19,206
468,29,19,225
469,34,20,228
470,35,19,221
471,32,21,236
472,25,14,238
473,25,14,234
474,25,14,244
475,26,15,253
476,28,16,249
477,29,16,262
478,25,16,264
479,24,19,282
480,25,23,274
481,27,23,269
482,20,24,266
483,21,24,265
484,23,22,269
485,26,22,269
486,27,21,270
487,24,21,264
488,26,18,263
489,22,18,263
490,24,15,267
491,26,15,262
492,21,16,269
493,17,16,266
494,18,16,262
495,17,16,253
496,13,13,252
497,12,15,250
498,13,15,244
499,14,18,252
500,10,22,243
501,10,22,243
