,Wolves,Sheep,Grass
0,10,50,188
1,10,52,173
2,12,57,162
3,13,60,147
4,14,71,145
5,16,72,144
6,16,72,139
7,17,72,135
8,19,67,135
9,23,66,131
10,24,61,127
11,24,65,124
12,25,55,121
13,25,47,123
14,29,43,121
15,29,44,117
16,31,42,128
17,32,38,129
18,33,36,130
19,34,30,126
20,35,31,131
21,36,33,126
22,37,31,142
23,40,30,154
24,40,25,170
25,43,24,175
26,46,25,185
27,50,23,186
28,46,19,192
29,40,18,218
30,38,18,213
31,39,18,215
32,39,17,232
33,34,15,223
34,33,17,236
35,34,16,240
36,36,17,246
37,37,17,245
38,33,20,246
39,30,23,241
40,31,21,248
41,33,16,251
42,34,14,248
43,30,14,251
44,27,13,261
45,27,15,264
46,26,17,264
47,26,19,261
48,26,19,275
49,25,21,275
50,25,21,273
51,25,22,267
52,24,24,267
53,24,24,277
54,24,26,267
55,24,24,268
56,25,23,260
57,21,21,252
58,16,19,251
59,16,18,257
60,15,20,251
61,15,20,241
62,18,21,242
63,20,19,244
64,21,21,240
65,20,22,229
66,19,27,232
67,17,29,232
68,16,29,224
69,17,25,229
70,17,26,229
71,18,24,222
72,19,27,216
73,19,28,219
74,19,25,221
75,15,17,221
76,14,19,242
77,15,20,235
78,16,20,248
79,15,20,242
80,18,23,251
81,17,21,241
82,16,21,244
83,17,20,245
84,16,19,236
85,16,23,247
86,17,21,238
87,19,24,228
88,21,24,236
89,23,23,238
90,24,25,234
91,22,27,235
92,18,23,235
93,19,23,243
94,19,25,239
95,20,26,244
96,18,27,246
97,16,26,241
98,15,26,238
99,17,28,242
100,18,30,232
101,17,34,240
102,18,40,236
103,16,40,227
104,16,43,226
105,16,42,223
106,17,46,222
107,15,42,232
108,11,37,230
109,12,38,219
110,12,35,213
111,12,33,203
112,12,33,197
113,13,32,196
114,12,34,200
115,10,35,204
116,11,35,195
117,12,37,191
118,12,40,198
119,11,39,190
120,11,38,188
121,12,39,183
122,10,40,171
123,10,34,173
124,8,34,184
125,8,34,190
126,8,32,185
127,9,34,177
128,10,34,187
129,10,37,178
130,10,42,176
131,10,42,177
132,10,43,184
133,8,40,170
134,8,39,169
135,9,42,174
136,10,42,167
137,10,48,166
138,10,54,168
139,8,55,162
140,9,47,154
141,9,42,181
142,10,42,185
143,11,43,177
144,11,42,176
145,12,39,181
146,13,40,170
147,14,40,178
148,18,41,189
149,19,40,189
150,21,35,186
151,23,34,175
152,23,34,185
153,19,29,207
154,19,29,205
155,19,28,197
156,18,28,188
157,21,36,194
158,23,38,192
159,27,39,211
160,19,37,203
161,19,38,189
162,17,36,184
163,18,36,177
164,18,37,168
165,19,35,179
166,17,36,180
167,16,38,175
168,15,36,170
169,16,42,169
170,14,44,157
171,15,40,169
172,15,41,160
173,16,46,154
174,17,45,140
175,16,44,139
176,19,45,138
177,18,44,144
178,18,43,153
179,19,45,153
180,20,44,147
181,20,39,174
182,19,42,180
183,20,39,178
184,19,35,175
185,15,36,166
186,16,34,163
187,16,33,173
188,18,33,162
189,20,35,176
190,22,32,165
191,22,32,185
192,20,30,171
193,21,29,171
194,21,27,187
195,19,25,181
196,19,27,188
197,19,23,190
198,19,22,194
199,20,24,208
200,20,20,202
201,18,22,207
202,20,20,209
203,21,22,205
204,21,23,224
205,22,25,217
206,23,27,227
207,22,29,214
208,24,31,218
209,24,32,232
210,25,31,230
211,30,32,222
212,30,30,219
213,29,29,237
214,31,31,229
215,32,32,236
216,33,30,221
217,35,23,216
218,33,31,215
219,34,30,211
220,36,28,218
221,37,25,216
222,38,26,214
223,41,26,212
224,43,25,205
225,38,27,205
226,37,31,204
227,43,28,207
228,41,28,220
229,41,23,217
230,41,27,221
231,46,26,215
232,42,24,225
233,38,24,226
234,39,24,227
235,36,24,231
236,34,24,242
237,37,24,243
238,39,27,246
239,41,28,237
240,38,24,240
241,33,21,239
242,33,19,241
243,35,20,239
244,30,20,240
245,29,18,250
246,28,16,251
247,27,14,244
248,29,17,255
249,33,21,260
250,27,22,256
251,24,21,263
252,23,21,264
253,21,22,255
254,17,19,260
255,19,17,261
256,19,17,251
257,20,20,251
258,20,20,251
259,21,23,260
260,20,24,255
261,21,26,244
262,21,26,249
263,21,23,236
264,20,24,235
265,21,25,239
266,25,21,237
267,27,21,239
268,23,22,236
269,23,20,235
270,22,22,230
271,22,25,229
272,20,24,236
273,19,26,239
274,19,24,241
275,19,18,238
276,15,19,232
277,16,23,238
278,14,23,227
279,14,26,233
280,12,27,236
281,14,27,239
282,14,24,233
283,13,27,241
284,12,29,251
285,13,33,253
286,15,32,249
287,16,33,245
288,16,35,240
289,14,32,226
290,14,34,223
291,12,35,214
292,12,36,209
293,13,38,207
294,10,38,206
295,11,40,207
296,11,39,202
297,10,39,196
298,9,42,184
299,9,46,191
300,8,51,181
301,9,48,178
302,9,49,168
303,10,55,160
304,10,51,155
305,10,51,159
306,9,47,168
307,9,51,156
308,9,54,142
309,10,51,149
310,10,56,133
311,8,51,145
312,7,56,149
313,9,54,145
314,7,53,141
315,6,41,131
316,7,47,139
317,8,51,130
318,8,55,129
319,8,55,130
320,9,54,140
321,7,51,128
322,9,46,137
323,10,49,149
324,11,54,145
325,11,56,134
326,11,54,142
327,11,54,133
328,11,50,155
329,11,46,141
330,12,46,167
331,13,46,166
332,10,47,164
333,10,48,148
334,9,48,158
335,9,43,159
336,9,49,167
337,9,44,151
338,9,47,154
339,9,44,159
340,9,33,159
341,9,35,157
342,9,35,161
343,9,36,173
344,11,35,164
345,11,34,184
346,11,33,175
347,12,34,176
348,13,32,193
349,14,29,194
350,14,28,192
351,15,31,195
352,16,30,194
353,16,30,188
354,16,32,210
355,16,30,214
356,14,25,216
357,12,21,205
358,12,22,215
359,12,25,211
360,12,24,224
361,12,29,214
362,13,30,227
363,14,30,216
364,13,28,222
365,14,27,213
366,15,30,217
367,15,32,207
368,18,33,213
369,18,34,211
370,15,32,212
371,13,33,201
372,13,36,194
373,14,38,198
374,14,40,188
375,14,39,177
376,16,45,170
377,13,46,158
378,15,50,163
379,16,47,159
380,17,48,156
381,19,48,150
382,19,50,144
383,22,50,139
384,22,46,134
385,24,43,143
386,23,43,141
387,22,44,141
388,23,37,141
389,26,34,153
390,26,30,148
391,27,26,153
392,26,25,160
393,27,25,178
394,26,26,187
395,27,22,183
396,31,19,196
397,33,20,220
398,26,20,227
399,22,23,235
400,23,23,225
401,23,25,227
402,24,25,253
403,22,31,259
404,21,30,248
405,20,29,252
406,20,31,256
407,22,30,256
408,23,28,253
409,20,31,242
410,16,32,237
411,14,35,222
412,15,41,220
413,18,42,215
414,22,42,199
415,23,41,192
416,23,39,187
417,23,41,176
418,19,44,175
419,21,42,174
420,20,40,179
421,19,35,182
422,17,35,178
423,14,35,182
424,14,34,183
425,13,30,179
426,13,31,196
427,10,33,197
428,11,36,187
429,11,37,205
430,12,37,192
431,13,40,191
432,14,39,205
433,14,38,188
434,15,35,202
435,11,33,192
436,13,37,206
437,14,40,203
438,14,42,200
439,14,46,184
440,12,50,181
441,12,56,171
442,13,54,158
443,14,54,161
444,12,54,144
445,10,53,135
446,10,54,127
447,10,58,123
448,11,58,105
449,11,57,108
450,11,61,100
451,11,61,109
452,11,55,100
453,12,53,117
454,12,52,106
455,13,52,113
456,14,50,113
457,14,42,120
458,14,34,133
459,15,34,141
460,16,33,131
461,16,34,158
462,16,33,161
463,18,34,152
464,18,29,159
465,19,33,184
466,22,34,171
467,19,33,173
468,20,34,185
469,20,33,192
470,21,31,195
471,17,33,198
472,16,34,209
473,17,31,196
474,17,32,199
475,18,32,200
476,16,29,202
477,15,29,208
478,12,29,200
479,12,30,208
480,11,30,209
481,12,31,210
482,12,36,201
483,14,37,200
484,17,38,196
485,18,36,187
486,20,35,195
487,20,38,185
488,18,35,189
489,18,33,176
490,20,35,177
491,20,36,187
492,19,36,187
493,19,33,177
494,17,33,188
495,16,36,191
496,16,33,183
497,15,30,182
498,17,32,184
499,17,31,187
500,15,30,181
501,15,30,181
