,Wolves,Sheep,Grass
0,10,50,214
1,10,53,196
2,11,57,183
3,11,63,173
4,11,64,167
5,12,67,159
6,12,70,147
7,12,74,143
8,13,69,136
9,14,66,130
10,15,60,128
11,15,66,118
12,16,64,118
13,18,61,115
14,19,54,112
15,20,49,108
16,21,44,112
17,23,40,119
18,24,36,128
19,27,34,125
20,27,31,129
21,29,26,125
22,29,20,150
23,30,16,160
24,31,17,185
25,33,19,196
26,35,19,205
27,37,22,199
28,37,21,220
29,40,21,225
30,42,26,228
31,37,26,221
32,36,23,244
33,35,22,232
34,35,21,242
35,31,22,254
36,32,20,251
37,32,24,249
38,31,20,247
39,33,18,249
40,36,19,247
41,34,19,245
42,35,20,247
43,38,18,236
44,34,19,239
45,34,21,246
46,27,22,240
47,26,22,240
48,27,20,244
49,27,21,236
50,26,21,238
51,27,22,236
52,25,28,247
53,25,31,248
54,22,31,233
55,22,32,241
56,20,32,239
57,19,33,235
58,19,27,228
59,20,29,232
60,20,32,227
61,22,37,215
62,23,35,210
63,23,40,208
64,24,38,207
65,24,35,203
66,23,35,202
67,20,37,208
68,18,40,200
69,20,35,201
70,21,30,202
71,25,25,201
72,24,26,211
73,25,23,218
74,24,25,227
75,24,27,225
76,24,28,220
77,24,29,225
78,20,34,217
79,22,30,213
80,23,31,229
81,24,24,232
82,22,26,231
83,22,27,217
84,24,25,225
85,24,27,227
86,22,26,214
87,18,26,223
88,16,23,211
89,17,23,214
90,17,24,217
91,13,23,222
92,11,22,211
93,10,21,212
94,11,21,209
95,12,23,198
96,13,26,206
97,13,27,198
98,12,29,198
99,9,28,194
100,8,30,194
101,8,32,184
102,8,33,182
103,7,37,183
104,7,35,181
105,7,38,190
106,7,43,186
107,6,43,180
108,6,47,180
109,8,52,164
110,8,54,156
111,8,51,146
112,8,53,163
113,9,53,161
114,7,56,148
115,6,58,148
116,7,66,147
117,8,62,149
118,9,58,156
119,9,52,160
120,10,51,162
121,10,47,148
122,10,47,160
123,11,47,160
124,12,42,154
125,13,37,168
126,13,38,158
127,13,35,182
128,13,41,183
129,14,41,163
130,15,43,172
131,15,43,175
132,15,44,172
133,15,46,169
134,16,49,169
135,16,48,169
136,14,47,167
137,14,47,167
138,14,46,162
139,17,50,159
140,14,48,158
141,14,50,164
142,14,37,154
143,14,40,161
144,15,33,166
145,15,32,161
146,13,33,167
147,14,31,175
148,16,29,175
149,16,27,188
150,16,29,192
151,18,26,195
152,19,27,203
153,17,28,193
154,17,31,201
155,18,31,212
156,18,31,200
157,20,33,212
158,21,34,202
159,20,34,208
160,19,28,206
161,19,33,211
162,17,35,199
163,17,35,196
164,19,38,192
165,21,39,191
166,22,43,189
167,25,42,198
168,25,39,188
169,25,38,194
170,25,37,181
171,24,35,185
172,28,35,173
173,27,33,166
174,25,37,178
175,24,38,164
176,25,40,172
177,27,38,164
178,30,38,170
179,32,38,181
180,37,36,173
181,36,31,176
182,35,32,192
183,38,30,190
184,38,32,181
185,38,31,200
186,38,26,197
187,37,23,199
188,33,22,202
189,26,18,206
190,25,15,213
191,25,17,211
192,25,18,218
193,26,17,222
194,24,13,234
195,26,13,243
196,22,14,236
197,22,14,244
198,24,16,250
199,26,16,243
200,28,20,251
201,26,19,251
202,30,22,243
203,29,21,244
204,30,23,257
205,29,24,247
206,27,21,254
207,29,26,252
208,24,30,252
209,22,31,249
210,22,30,244
211,21,30,238
212,18,27,229
213,18,23,217
214,19,23,218
215,19,25,222
216,18,24,218
217,18,25,215
218,18,25,221
219,19,27,217
220,20,26,205
221,20,28,212
222,20,26,200
223,20,27,212
224,19,27,206
225,20,24,209
226,22,23,219
227,21,25,211
228,22,28,210
229,23,28,220
230,25,30,212
231,25,30,215
232,24,30,215
233,24,28,216
234,24,27,225
235,25,27,224
236,26,31,211
237,27,33,218
238,29,36,215
239,26,37,216
240,27,33,206
241,25,30,217
242,24,32,207
243,25,36,212
244,25,36,195
245,29,36,198
246,29,39,187
247,26,37,188
248,25,36,184
249,24,36,180
250,24,35,169
251,26,35,180
252,27,34,168
253,28,34,175
254,30,37,168
255,28,40,165
256,28,34,168
257,29,32,177
258,30,35,177
259,32,34,176
260,29,32,176
261,26,33,182
262,27,33,178
263,27,34,177
264,27,35,163
265,23,31,172
266,26,34,171
267,26,36,174
268,26,30,198
269,27,31,197
270,25,26,197
271,27,24,191
272,28,23,198
273,28,25,196
274,29,23,205
275,27,20,209
276,23,16,216
277,25,17,227
278,26,15,218
279,25,15,238
280,23,14,235
281,21,11,245
282,23,10,255
283,27,12,263
284,29,10,260
285,29,10,276
286,29,12,283
287,28,13,279
288,29,14,289
289,30,11,280
290,30,11,298
291,29,9,294
292,30,12,301
293,27,11,302
294,30,8,307
295,27,7,307
296,27,8,305
297,29,9,314
298,27,9,310
299,27,6,319
300,29,6,316
301,27,6,314
302,27,6,318
303,27,5,320
304,30,4,322
305,27,5,320
306,25,6,328
307,23,7,329
308,24,8,326
309,19,8,335
310,17,6,338
311,15,7,341
312,15,7,344
313,15,7,341
314,14,8,341
315,16,9,338
316,11,9,342
317,11,8,341
318,10,9,342
319,8,11,337
320,9,10,339
321,10,10,339
322,10,8,335
323,11,8,338
324,11,6,339
325,8,6,341
326,9,5,340
327,9,4,344
328,9,4,341
329,9,5,345
330,9,5,344
331,10,5,341
332,12,5,338
333,14,5,338
334,14,5,340
335,14,4,347
336,14,4,344
337,14,5,347
338,13,5,344
339,12,7,350
340,13,7,351
341,9,7,346
342,8,7,350
343,5,6,354
344,5,6,349
345,5,6,345
346,5,6,343
347,5,6,340
348,5,5,339
349,5,5,341
350,5,5,339
351,5,5,345
352,4,5,345
353,4,4,347
354,4,4,348
355,4,4,348
356,4,5,348
357,4,6,348
358,4,7,349
359,4,8,348
360,5,8,344
361,6,8,346
362,4,8,342
363,4,8,338
364,4,8,336
365,4,8,337
366,4,8,340
367,5,10,345
368,5,9,343
369,5,8,339
370,5,10,339
371,5,10,335
372,5,11,331
373,5,12,324
374,5,12,319
375,6,13,314
376,7,14,307
377,7,14,304
378,7,17,302
379,6,18,295
380,6,18,293
381,5,17,292
382,6,18,296
383,6,21,290
384,7,23,284
385,8,21,285
386,5,21,280
387,3,23,277
388,3,22,270
389,3,21,273
390,3,20,268
391,4,22,258
392,6,23,256
393,6,26,249
394,6,26,257
395,7,26,257
396,8,26,253
397,9,27,243
398,9,28,237
399,10,29,233
400,12,31,228
401,9,33,230
402,7,33,221
403,7,36,223
404,5,37,214
405,6,38,219
406,7,41,205
407,8,45,200
408,8,42,193
409,9,45,189
410,10,47,195
411,7,47,190
412,5,46,188
413,5,44,179
414,5,47,163
415,5,46,165
416,5,40,157
417,5,42,174
418,5,44,171
419,4,46,164
420,4,53,166
421,4,54,154
422,4,57,153
423,5,52,150
424,5,54,148
425,5,51,145
426,5,49,150
427,5,49,154
428,5,48,166
429,5,51,150
430,5,45,159
431,5,50,157
432,7,51,155
433,7,50,167
434,7,54,169
435,10,51,157
436,10,55,159
437,10,50,145
438,10,52,140
439,11,52,156
440,11,57,149
441,12,50,144
442,12,42,134
443,12,41,129
444,12,41,140
445,12,41,139
446,12,39,137
447,12,41,140
448,13,43,139
449,14,46,140
450,14,47,127
451,14,49,130
452,15,47,141
453,16,50,131
454,19,55,137
455,18,50,141
456,19,47,140
457,19,49,158
458,19,48,155
459,19,46,154
460,17,41,144
461,19,46,170
462,20,45,167
463,21,45,154
464,22,43,152
465,22,41,168
466,22,41,165
467,23,39,165
468,21,42,157
469,23,37,159
470,25,35,185
471,25,30,176
472,29,26,184
473,31,22,188
474,31,22,184
475,27,24,197
476,24,27,189
477,24,25,193
478,26,21,196
479,28,19,214
480,27,20,208
481,27,18,211
482,29,17,226
483,31,17,223
484,31,18,232
485,29,17,243
486,30,17,262
487,32,17,263
488,29,17,257
489,32,17,262
490,28,16,269
491,27,16,271
492,25,17,264
493,24,19,279
494,25,20,274
495,22,22,262
496,22,24,259
497,22,25,255
498,22,26,252
499,20,26,262
500,19,28,252
501,19,28,252
