,Wolves,Sheep,Grass
0,10,50,210
1,11,52,190
2,12,52,180
3,12,53,173
4,12,51,165
5,12,48,160
6,12,46,153
7,12,46,146
8,12,46,141
9,12,46,135
10,12,41,136
11,12,42,133
12,12,41,131
13,12,40,129
14,12,37,129
15,12,37,129
16,12,31,127
17,12,31,129
18,12,31,134
19,12,27,141
20,12,27,150
21,12,27,148
22,12,25,168
23,12,22,199
24,12,20,205
25,13,18,211
26,13,18,203
27,14,17,215
28,14,14,223
29,14,12,244
30,14,11,239
31,14,12,245
32,14,11,252
33,14,11,260
34,14,11,268
35,14,11,282
36,14,11,277
37,14,12,288
38,14,13,288
39,14,14,285
40,14,15,280
41,14,16,271
42,14,17,266
43,15,17,276
44,16,18,267
45,16,17,270
46,16,17,271
47,16,17,278
48,15,18,274
49,15,17,265
50,15,17,260
51,15,18,259
52,15,17,255
53,15,16,257
54,16,16,248
55,16,15,251
56,16,13,249
57,16,13,249
58,16,13,250
59,16,13,246
60,16,13,255
61,16,14,260
62,16,14,254
63,14,14,254
64,14,15,264
65,14,15,262
66,14,15,262
67,13,15,253
68,13,17,254
69,13,16,258
70,13,18,271
71,11,19,267
72,11,18,272
73,11,18,273
74,12,19,273
75,11,20,263
76,11,19,271
77,11,20,263
78,11,20,262
79,11,17,261
80,11,16,261
81,11,15,257
82,11,16,256
83,11,16,248
84,11,16,251
85,11,16,253
86,11,16,263
87,11,14,255
88,11,15,264
89,11,14,262
90,11,16,258
91,11,15,262
92,11,17,254
93,12,16,248
94,12,17,252
95,12,17,251
96,12,17,261
97,12,16,262
98,12,16,262
99,12,16,256
100,12,15,261
101,12,15,271
102,12,14,273
103,12,14,275
104,12,13,270
105,12,11,274
106,12,12,272
107,12,11,268
108,13,11,276
109,13,10,274
110,13,11,280
111,13,11,274
112,13,13,284
113,14,14,286
114,14,15,277
115,15,16,286
116,15,16,280
117,15,17,279
118,15,17,277
119,15,20,277
120,15,19,281
121,15,19,271
122,16,18,273
123,16,18,274
124,17,18,269
125,16,19,270
126,16,21,264
127,16,20,267
128,16,20,264
129,16,17,257
130,14,16,260
131,14,17,255
132,13,16,260
133,14,15,252
134,14,16,261
135,14,15,256
136,13,15,260
137,14,15,270
138,14,12,262
139,14,11,264
140,14,11,273
141,14,9,269
142,12,10,275
143,12,11,282
144,12,11,280
145,12,12,291
146,12,12,284
147,12,11,284
148,12,10,288
149,12,11,300
150,12,11,298
151,12,11,298
152,12,13,293
153,12,12,301
154,12,12,305
155,12,12,298
156,12,12,302
157,12,11,298
158,12,12,294
159,12,12,301
160,12,12,298
161,13,13,301
162,13,12,302
163,13,13,298
164,13,14,294
165,13,13,287
166,13,13,292
167,13,13,294
168,14,15,292
169,14,16,288
170,14,17,280
171,14,16,283
172,14,16,283
173,14,14,279
174,14,13,273
175,13,15,276
176,13,17,271
177,13,17,268
178,13,17,267
179,13,18,262
180,14,16,264
181,14,17,264
182,14,17,254
183,14,17,258
184,14,18,251
185,14,19,257
186,14,21,255
187,14,22,247
188,14,21,250
189,16,21,253
190,15,22,254
191,16,22,251
192,16,24,253
193,16,25,262
194,16,25,260
195,16,25,253
196,16,23,251
197,16,21,246
198,16,23,248
199,16,22,258
200,16,23,251
201,16,22,249
202,16,22,262
203,16,20,262
204,17,21,254
205,17,19,260
206,18,20,254
207,17,20,260
208,17,21,256
209,18,22,251
210,17,21,252
211,18,21,243
212,18,21,238
213,18,19,242
214,16,18,243
215,16,18,238
216,16,19,252
217,16,19,246
218,15,19,246
219,16,19,244
220,17,20,246
221,17,18,250
222,18,17,248
223,18,14,251
224,18,14,247
225,18,13,251
226,18,10,254
227,18,8,255
228,17,8,261
229,17,8,277
230,20,8,279
231,20,7,285
232,19,7,290
233,18,8,286
234,18,8,296
235,18,7,295
236,18,8,290
237,18,8,299
238,18,8,296
239,18,8,296
240,18,7,300
241,18,8,314
242,18,6,310
243,17,6,322
244,17,6,322
245,17,7,317
246,18,7,318
247,18,7,320
248,17,8,324
249,17,9,324
250,14,9,319
251,13,9,318
252,13,9,316
253,13,9,315
254,14,9,323
255,14,11,321
256,14,13,326
257,14,14,323
258,14,15,320
259,14,15,320
260,13,15,316
261,13,15,317
262,13,15,310
263,13,13,313
264,13,12,310
265,14,10,317
266,12,10,317
267,10,10,312
268,10,8,307
269,11,8,310
270,11,8,308
271,12,7,304
272,12,7,306
273,12,8,308
274,12,9,309
275,12,10,304
276,10,10,304
277,10,10,308
278,10,11,302
279,10,11,304
280,10,9,304
281,10,10,301
282,10,10,303
283,10,9,307
284,10,9,310
285,10,9,309
286,10,9,308
287,10,10,310
288,10,9,306
289,11,9,307
290,13,8,312
291,13,9,310
292,13,10,305
293,13,10,307
294,11,10,303
295,10,10,308
296,10,10,310
297,10,12,310
298,10,12,304
299,9,12,303
300,9,12,305
301,9,12,297
302,10,13,301
303,9,13,300
304,9,13,298
305,9,14,289
306,9,15,286
307,10,15,289
308,10,15,287
309,10,15,278
310,10,14,274
311,10,14,283
312,10,14,285
313,10,14,279
314,10,14,283
315,9,14,279
316,9,15,278
317,9,15,277
318,9,15,272
319,9,15,266
320,9,15,265
321,9,14,273
322,10,15,272
323,10,14,270
324,9,14,265
325,9,13,276
326,9,12,270
327,9,13,272
328,9,14,279
329,10,14,272
330,10,14,282
331,10,15,278
332,10,15,278
333,11,15,269
334,11,15,270
335,11,14,268
336,11,15,268
337,11,16,276
338,11,16,271
339,11,16,281
340,11,16,274
341,11,16,273
342,11,16,280
343,11,15,278
344,11,13,276
345,11,14,275
346,9,14,268
347,9,16,271
348,9,16,271
349,9,16,268
350,9,17,269
351,10,18,265
352,10,18,259
353,10,19,260
354,10,19,268
355,10,19,269
356,9,20,261
357,9,22,266
358,9,21,258
359,9,19,263
360,9,19,256
361,10,19,259
362,10,19,266
363,10,18,271
364,10,16,266
365,10,14,278
366,10,15,275
367,10,14,286
368,10,13,281
369,10,13,285
370,10,11,292
371,10,10,291
372,11,9,295
373,11,9,298
374,11,9,297
375,12,10,306
376,12,9,310
377,12,9,309
378,13,9,309
379,13,9,312
380,13,9,312
381,13,8,314
382,13,8,317
383,13,7,315
384,11,7,314
385,11,6,316
386,11,6,316
387,12,7,313
388,12,8,317
389,12,8,313
390,12,9,316
391,12,9,312
392,12,10,316
393,12,9,321
394,12,9,325
395,12,11,325
396,10,11,323
397,10,11,324
398,10,11,337
399,10,11,333
400,10,11,334
401,10,9,329
402,10,9,327
403,10,9,326
404,9,9,325
405,9,9,329
406,9,9,325
407,9,10,327
408,9,9,322
409,9,9,324
410,9,10,320
411,9,9,321
412,9,9,317
413,9,9,315
414,9,9,315
415,9,7,312
416,9,8,311
417,9,9,310
418,9,9,308
419,9,9,310
420,9,11,308
421,9,12,304
422,9,15,302
423,9,16,296
424,9,16,295
425,9,16,290
426,9,17,290
427,10,15,291
428,10,15,283
429,10,16,293
430,10,16,289
431,10,17,288
432,10,17,288
433,9,18,288
434,9,19,293
435,9,18,290
436,9,18,285
437,11,17,283
438,11,17,284
439,11,17,286
440,11,17,289
441,11,20,285
442,11,20,287
443,11,18,290
444,10,17,299
445,9,17,296
446,9,19,292
447,9,17,289
448,9,17,295
449,9,17,294
450,10,17,285
451,10,18,281
452,10,16,281
453,10,14,283
454,10,12,274
455,10,12,270
456,10,12,272
457,10,12,270
458,10,13,273
459,10,15,267
460,10,15,267
461,10,14,273
462,10,14,272
463,9,14,273
464,9,15,274
465,9,14,268
