,Wolves,Sheep,Grass
0,10,50,210
1,11,53,190
2,12,56,174
3,12,55,162
4,12,55,154
5,12,54,148
6,12,54,141
7,12,54,132
8,12,57,126
9,13,60,114
10,13,62,106
11,13,62,103
12,13,65,99
13,13,67,103
14,13,63,101
15,13,67,100
16,14,73,100
17,14,72,98
18,14,68,99
19,14,64,98
20,14,62,102
21,14,61,91
22,14,61,113
23,14,64,122
24,14,60,140
25,14,62,133
26,14,62,142
27,14,60,140
28,14,56,129
29,14,55,130
30,14,54,142
31,14,52,141
32,14,55,141
33,14,56,149
34,14,56,139
35,14,54,141
36,14,56,139
37,14,59,137
38,15,62,124
39,16,60,124
40,16,55,123
41,16,59,132
42,16,58,129
43,16,59,121
44,17,61,128
45,17,65,134
46,17,67,147
47,17,65,148
48,17,64,147
49,17,67,130
50,17,68,131
51,17,70,127
52,17,67,147
53,17,68,132
54,17,65,135
55,17,62,134
56,19,62,147
57,19,58,131
58,20,55,131
59,20,53,134
60,21,52,131
61,19,56,143
62,20,59,142
63,21,58,140
64,21,60,129
65,23,59,133
66,24,58,143
67,24,57,150
68,24,57,152
69,25,59,153
70,26,60,136
71,27,63,136
72,27,63,138
73,27,63,127
74,27,60,141
75,27,58,135
76,27,58,137
77,27,61,145
78,27,59,141
79,27,56,130
80,28,54,131
81,28,51,145
82,28,52,142
83,28,47,143
84,28,43,132
85,28,43,135
86,28,44,132
87,28,45,142
88,30,40,138
89,31,35,133
90,31,37,157
91,33,35,151
92,33,37,180
93,33,38,182
94,33,36,186
95,33,30,195
96,33,28,186
97,32,30,199
98,33,33,193
99,33,35,198
100,33,34,210
101,33,35,201
102,33,33,204
103,33,31,215
104,33,31,204
105,33,28,213
106,33,25,216
107,34,25,221
108,32,24,211
109,32,25,234
110,32,22,225
111,32,22,232
112,32,23,225
113,32,22,228
114,33,21,231
115,33,24,233
116,33,23,234
117,33,22,226
118,33,23,234
119,33,23,246
120,33,24,237
121,34,23,244
122,34,20,243
123,32,22,244
124,32,21,236
125,33,20,237
126,34,19,242
127,36,18,248
128,36,16,250
129,36,14,251
130,37,14,245
131,37,15,257
132,37,14,255
133,35,13,264
134,35,13,258
135,35,13,265
136,36,12,263
137,38,13,277
138,38,14,272
139,38,15,277
140,38,16,278
141,38,13,271
142,38,13,284
143,38,13,274
144,39,13,278
145,40,13,290
146,41,15,286
147,41,14,283
148,42,12,280
149,42,12,281
150,44,12,285
151,44,12,280
152,44,11,281
153,44,9,285
154,41,8,285
155,45,7,293
156,45,6,291
157,45,6,292
158,46,6,292
159,46,7,297
160,46,9,293
161,46,10,298
162,47,8,306
163,48,8,313
164,47,9,310
165,45,9,314
166,43,11,326
167,40,11,320
168,39,10,329
169,40,10,330
170,40,10,326
171,41,9,327
172,41,8,330
173,39,8,330
174,39,8,330
175,40,8,329
176,40,9,329
177,41,8,325
178,41,8,324
179,41,8,320
180,41,9,322
181,42,8,324
182,40,8,331
183,40,9,325
184,39,7,327
185,39,7,327
186,38,7,328
187,38,7,326
188,41,6,330
189,41,8,337
190,41,8,336
191,41,7,344
192,41,6,340
193,43,6,344
194,45,7,349
195,44,6,347
196,46,6,349
197,46,6,346
198,46,6,346
199,47,5,352
200,44,5,353
201,46,4,352
202,48,4,352
203,45,3,355
204,44,3,354
205,44,4,359
206,44,3,357
207,44,4,358
208,43,6,359
209,41,5,355
210,39,5,357
211,39,5,356
212,39,5,355
213,39,6,357
214,39,6,355
215,38,7,355
216,38,5,353
217,38,5,352
218,38,5,356
219,38,5,355
220,38,5,355
221,38,5,357
222,38,5,357
223,39,5,356
224,40,5,357
225,37,5,355
226,38,4,356
227,36,4,356
228,34,4,355
229,34,4,360
230,32,4,361
231,32,3,362
232,30,3,361
233,29,2,361
234,28,2,359
235,30,2,363
236,31,2,362
237,32,3,367
238,32,4,370
239,32,4,368
240,32,4,367
241,30,4,367
242,27,4,365
243,27,4,365
244,27,4,364
245,27,4,363
246,27,5,362
247,27,5,360
