,Wolves,Sheep,Grass
0,10,50,210
1,16,73,190
2,25,96,178
3,44,121,160
4,71,157,142
5,121,140,121
6,189,128,111
7,253,106,92
8,369,84,91
9,482,59,93
10,560,28,97
11,640,19,104
12,664,13,112
13,414,6,123
14,294,5,133
15,167,5,139
16,102,3,145
17,98,4,154
18,80,4,163
19,45,4,172
20,24,5,185
21,17,4,185
22,21,2,212
23,2,3,236
24,3,4,290
25,6,6,290
26,11,6,335
27,7,7,330
28,4,7,362
29,7,10,365
30,14,12,361
31,24,16,364
32,31,13,365
33,39,13,362
34,50,12,357
35,49,14,352
36,71,13,346
37,55,18,343
38,57,17,337
39,50,23,331
40,48,34,325
41,24,31,320
42,10,30,318
43,19,30,308
44,15,36,294
45,14,46,280
46,11,42,267
47,19,47,259
48,26,51,255
49,31,57,237
50,44,63,225
51,53,62,213
52,63,59,198
53,61,55,195
54,47,60,181
55,60,63,165
56,91,72,151
57,89,73,149
58,93,68,140
59,71,78,124
60,77,69,123
61,78,66,117
62,99,55,113
63,97,40,110
64,97,36,125
65,76,35,121
66,85,31,129
67,100,15,137
68,93,10,147
69,92,14,173
70,87,9,184
71,87,13,199
72,70,16,191
73,22,19,202
74,3,31,207
75,1,29,236
76,2,27,230
77,3,27,257
78,6,26,268
79,12,24,281
80,10,27,288
81,5,28,292
82,9,32,285
83,15,30,276
84,9,33,284
85,12,41,276
86,21,47,274
87,35,43,265
88,6,47,252
89,3,55,243
90,5,59,236
91,9,55,221
92,17,64,218
93,28,61,199
94,24,70,185
95,21,70,183
96,36,70,168
97,43,64,156
98,55,66,150
99,69,65,135
100,87,64,126
101,111,71,128
102,72,83,112
103,52,65,119
104,59,53,106
105,71,54,102
106,75,58,109
107,73,48,110
108,61,38,122
109,79,29,116
110,102,37,131
111,92,29,126
112,61,23,149
113,60,20,145
114,69,22,156
115,66,28,185
116,92,24,179
117,81,22,184
118,26,27,215
119,35,36,207
120,49,34,229
121,35,38,219
122,27,39,223
123,32,37,225
124,14,40,222
125,23,49,223
126,39,58,222
127,32,54,227
128,31,58,218
129,36,64,198
130,38,65,186
131,39,72,174
132,52,74,164
133,69,82,150
134,69,86,147
135,90,75,132
136,109,57,124
137,103,49,130
138,124,45,131
139,120,47,125
140,133,36,133
141,119,29,127
142,100,30,133
143,85,24,150
144,77,27,161
145,55,23,165
146,22,23,162
147,18,25,189
148,20,23,182
149,8,23,194
150,8,20,207
151,13,21,240
152,18,21,231
153,17,31,241
154,10,38,257
155,6,47,256
156,2,59,252
157,3,57,237
158,6,67,236
159,11,66,215
160,5,77,207
161,0,95,202
162,0,87,182
163,0,81,172
164,0,78,161
165,0,77,146
166,0,73,142
167,0,66,129
168,0,70,116
169,0,69,108
170,0,81,96
171,0,75,89
172,0,77,87
173,0,84,73
174,0,65,69
