,Wolves,Sheep,Grass
0,10,50,201
1,10,49,192
2,11,51,177
3,11,49,168
4,12,50,160
5,12,50,153
6,12,52,154
7,13,55,153
8,14,53,145
9,15,53,143
10,17,53,130
11,18,51,128
12,19,53,125
13,20,51,120
14,19,53,118
15,22,47,126
16,25,44,122
17,25,45,125
18,23,43,126
19,24,41,123
20,20,37,125
21,20,36,115
22,22,36,131
23,23,34,162
24,25,33,151
25,25,34,171
26,28,35,170
27,28,34,162
28,29,30,164
29,31,25,180
30,30,25,170
31,30,23,194
32,28,20,199
33,28,20,189
34,30,22,196
35,26,22,198
36,28,22,212
37,29,20,205
38,32,20,207
39,31,20,221
40,32,20,216
41,33,20,218
42,35,18,218
43,35,16,216
44,32,16,220
45,28,15,216
46,25,14,226
47,23,13,241
48,23,13,235
49,20,14,239
50,18,13,245
51,20,15,249
52,24,15,255
53,25,15,260
54,25,15,264
55,23,15,263
56,19,17,267
57,14,18,256
58,17,17,254
59,19,15,263
60,12,15,267
61,14,14,265
62,16,15,270
63,15,16,262
64,17,16,265
65,18,16,268
66,18,14,268
67,18,13,275
68,17,10,271
69,15,9,274
70,16,9,279
71,17,9,281
72,20,10,283
73,18,9,287
74,18,9,290
75,13,9,288
76,14,9,291
77,14,9,308
78,12,9,306
79,8,9,317
80,6,9,313
81,7,8,315
82,8,8,320
83,8,8,328
84,8,9,332
85,10,10,330
86,7,9,330
87,8,10,328
88,9,10,320
89,8,10,321
90,8,10,313
91,9,11,308
92,4,11,306
93,2,11,304
94,2,11,303
95,2,11,300
96,2,12,296
97,3,12,298
98,3,13,294
99,4,15,293
100,4,15,285
101,4,15,287
102,2,16,283
103,2,16,277
104,1,16,275
105,1,16,267
106,1,16,266
107,1,17,261
108,1,17,271
109,1,19,272
110,1,18,269
111,0,17,268
112,0,17,264
113,0,17,268
114,0,16,263
115,0,16,262
116,0,16,268
117,0,16,266
118,0,17,260
119,0,16,262
120,0,17,257
121,0,17,261
122,0,18,270
123,0,18,267
124,0,18,269
125,0,18,263
126,0,18,273
127,0,18,263
128,0,19,269
129,0,19,261
130,0,20,259
131,0,20,258
132,0,21,256
133,0,22,250
134,0,24,251
135,0,24,240
136,0,26,233
137,0,26,240
138,0,27,230
139,0,28,226
140,0,29,222
141,0,30,217
142,0,31,206
143,0,32,205
144,0,33,210
145,0,34,199
146,0,35,200
147,0,35,193
148,0,35,193
149,0,35,189
150,0,36,179
151,0,38,178
152,0,39,177
153,0,40,185
154,0,41,174
155,0,42,174
156,0,43,171
157,0,43,179
158,0,43,170
159,0,43,172
160,0,42,178
161,0,42,162
162,0,44,174
163,0,44,174
164,0,44,177
165,0,45,176
166,0,45,177
167,0,45,167
168,0,45,171
169,0,46,165
170,0,48,166
171,0,47,170
172,0,49,159
173,0,49,179
174,0,49,171
175,0,51,181
176,0,49,171
177,0,50,177
178,0,51,183
179,0,50,177
180,0,52,159
181,0,54,169
182,0,53,174
183,0,56,178
184,0,57,164
185,0,58,157
186,0,59,165
187,0,58,151
188,0,58,159
189,0,60,156
190,0,58,151
191,0,57,150
192,0,57,139
193,0,56,140
194,0,57,136
195,0,57,137
196,0,56,134
197,0,56,126
198,0,57,134
199,0,55,138
200,0,57,141
201,0,59,133
202,0,58,132
203,0,60,119
204,0,59,138
205,0,59,127
206,0,57,131
207,0,54,130
208,0,56,129
209,0,55,145
210,0,56,148
211,0,57,139
212,0,54,153
213,0,52,140
214,0,53,157
215,0,54,146
216,0,54,147
217,0,55,156
218,0,55,143
219,0,56,149
220,0,58,136
221,0,60,134
222,0,57,146
223,0,54,128
224,0,54,128
225,0,53,136
226,0,53,124
227,0,56,115
228,0,58,127
229,0,60,115
230,0,61,126
231,0,55,111
232,0,56,111
233,0,58,108
234,0,54,114
235,0,55,106
236,0,57,111
237,0,56,110
238,0,53,112
239,0,52,98
240,0,51,105
241,0,52,110
242,0,50,130
243,0,51,132
244,0,56,131
245,0,60,119
246,0,59,123
247,0,60,140
248,0,61,126
249,0,62,130
250,0,64,124
251,0,66,148
252,0,66,136
253,0,66,129
254,0,63,147
255,0,65,136
256,0,68,119
257,0,67,126
258,0,67,121
259,0,67,110
260,0,68,112
261,0,69,116
262,0,66,99
263,0,68,111
264,0,71,94
265,0,71,104
266,0,69,98
267,0,70,99
268,0,65,104
269,0,65,103
270,0,62,88
271,0,62,107
272,0,61,93
273,0,62,105
274,0,60,106
275,0,63,100
276,0,60,127
277,0,59,114
278,0,58,127
279,0,59,144
280,0,56,145
281,0,53,145
282,0,51,145
283,0,50,149
284,0,50,135
285,0,50,140
286,0,51,141
287,0,55,156
288,0,55,146
289,0,55,134
290,0,55,150
291,0,53,139
292,0,53,135
293,0,52,133
294,0,54,148
295,0,56,136
296,0,50,129
297,0,46,137
298,0,44,134
299,0,46,123
300,0,45,138
301,0,45,125
302,0,46,147
303,0,46,145
304,0,46,131
305,0,47,138
306,0,48,142
307,0,46,145
308,0,46,129
309,0,46,149
310,0,46,136
311,0,50,150
312,0,48,150
313,0,46,139
314,0,48,152
315,0,48,143
316,0,49,145
317,0,50,162
318,0,50,158
319,0,50,154
320,0,51,148
321,0,50,149
322,0,50,139
323,0,49,152
324,0,48,143
325,0,50,147
326,0,50,166
327,0,48,156
328,0,47,171
329,0,46,159
330,0,43,163
331,0,42,172
332,0,39,172
333,0,40,163
334,0,41,176
335,0,41,174
336,0,41,173
337,0,41,173
338,0,39,163
339,0,40,185
340,0,40,190
341,0,41,177
342,0,42,184
343,0,44,168
344,0,46,175
345,0,45,165
346,0,44,170
347,0,48,154
348,0,50,160
349,0,50,146
350,0,51,151
351,0,53,138
352,0,54,150
353,0,52,146
354,0,54,128
355,0,55,143
356,0,53,131
357,0,55,133
358,0,53,131
359,0,52,131
360,0,52,134
361,0,52,121
362,0,52,119
363,0,54,131
364,0,55,132
365,0,55,125
366,0,55,124
367,0,56,130
368,0,56,138
369,0,54,143
370,0,54,157
371,0,57,154
372,0,59,153
373,0,57,146
374,0,57,151
375,0,57,143
376,0,56,140
377,0,56,135
378,0,57,146
379,0,57,142
380,0,58,143
381,0,58,135
382,0,57,138
383,0,57,137
384,0,57,153
385,0,57,147
386,0,56,148
387,0,50,137
388,0,50,134
389,0,50,132
390,0,51,139
391,0,52,143
392,0,53,141
393,0,52,126
394,0,54,132
395,0,55,135
396,0,54,140
397,0,53,125
398,0,51,144
399,0,52,132
400,0,54,144
401,0,54,133
402,0,55,140
403,0,50,130
404,0,51,132
405,0,51,138
406,0,51,134
407,0,52,125
408,0,51,125
409,0,51,137
410,0,51,130
411,0,51,145
412,0,49,135
413,0,49,138
414,0,50,152
415,0,47,140
416,0,46,152
417,0,47,138
418,0,50,148
419,0,48,138
420,0,45,154
421,0,46,153
422,0,45,154
423,0,44,145
424,0,45,158
425,0,47,149
426,0,47,171
427,0,50,148
428,0,48,147
429,0,48,152
430,0,50,158
431,0,48,145
432,0,49,154
433,0,43,167
434,0,45,156
435,0,45,160
436,0,44,163
437,0,43,163
438,0,46,165
439,0,46,162
440,0,45,154
441,0,45,166
442,0,47,152
443,0,48,154
444,0,48,155
445,0,47,162
446,0,47,167
447,0,46,174
448,0,44,169
449,0,46,155
450,0,45,151
451,0,44,149
452,0,43,160
453,0,44,158
454,0,45,153
455,0,44,152
456,0,42,158
457,0,42,149
458,0,44,164
459,0,44,167
460,0,44,173
461,0,46,168
462,0,46,167
463,0,46,166
464,0,46,165
465,0,44,154
466,0,43,165
467,0,45,152
468,0,40,153
469,0,43,152
470,0,43,162
471,0,43,149
472,0,46,163
473,0,47,156
474,0,48,156
475,0,48,149
476,0,49,150
477,0,50,154
478,0,52,163
479,0,52,163
480,0,54,152
481,0,53,165
482,0,52,156
483,0,51,167
484,0,50,162
485,0,50,166
486,0,51,161
487,0,50,162
488,0,50,166
489,0,47,147
490,0,47,152
491,0,47,171
492,0,47,154
493,0,45,160
494,0,46,147
495,0,45,143
496,0,44,143
497,0,46,144
498,0,45,144
499,0,45,155
500,0,47,153
501,0,47,153
