,Wolves,Sheep,Grass
0,10,50,201
1,20,51,192
2,40,52,178
3,80,55,169
4,160,54,165
5,320,49,160
6,186,42,164
7,230,40,165
8,276,36,162
9,214,31,161
10,148,24,163
11,192,20,171
12,190,18,174
13,114,15,180
14,38,15,181
15,44,17,195
16,56,18,196
17,20,16,203
18,12,20,212
19,24,22,211
20,16,21,214
21,0,22,207
22,0,21,223
23,0,20,251
24,0,23,254
25,0,27,248
26,0,26,263
27,0,29,257
28,0,30,258
29,0,31,260
30,0,31,262
31,0,37,251
32,0,30,236
33,0,33,234
34,0,34,218
35,0,33,212
36,0,38,203
37,0,39,200
38,0,42,192
39,0,48,190
40,0,48,181
41,0,47,178
42,0,44,165
43,0,44,162
44,0,43,163
45,0,46,165
46,0,46,162
47,0,46,168
48,0,45,159
49,0,49,163
50,0,50,160
51,0,50,163
52,0,49,167
53,0,51,165
54,0,52,155
55,0,54,166
56,0,52,152
57,0,60,151
58,0,58,153
59,0,60,152
60,0,55,162
61,0,55,158
62,0,53,156
63,0,60,143
64,0,61,143
65,0,58,141
66,0,54,146
67,0,52,133
68,0,57,140
69,0,55,136
70,0,49,124
71,0,44,140
72,0,49,138
73,0,53,126
74,0,57,142
75,0,56,127
76,0,58,141
77,0,63,139
78,0,64,131
79,0,59,128
80,0,65,120
81,0,69,108
82,0,63,132
83,0,60,121
84,0,61,134
85,0,60,129
86,0,56,126
87,0,52,131
88,0,51,127
89,0,57,112
90,0,52,119
91,0,52,115
92,0,53,132
93,0,53,135
94,0,50,131
95,0,50,135
96,0,51,123
97,0,52,129
98,0,60,151
99,0,59,137
100,0,63,150
101,0,64,138
102,0,61,148
103,0,56,147
104,0,59,134
105,0,58,144
106,0,52,149
107,0,49,148
108,0,40,139
109,0,44,144
110,0,45,143
111,0,51,141
112,0,52,142
113,0,55,136
114,0,55,139
115,0,54,130
116,0,61,132
117,0,55,132
118,0,58,138
119,0,53,142
120,0,57,140
121,0,56,150
122,0,60,137
123,0,57,140
124,0,55,138
125,0,56,126
126,0,59,141
127,0,57,129
128,0,55,120
129,0,52,119
130,0,50,112
131,0,47,111
132,0,51,118
133,0,51,124
134,0,52,126
135,0,50,133
136,0,49,130
137,0,49,134
138,0,47,138
139,0,47,143
140,0,44,149
141,0,45,136
142,0,48,142
143,0,50,146
144,0,43,172
145,0,42,172
146,0,46,171
147,0,47,172
148,0,46,167
149,0,45,158
150,0,48,148
151,0,44,153
152,0,44,168
153,0,46,169
