,Wolves,Sheep,Grass
0,10,50,215
1,11,53,200
2,11,57,187
3,13,61,177
4,14,67,161
5,14,72,145
6,17,71,135
7,19,66,128
8,21,68,114
9,22,65,110
10,24,62,114
11,25,61,110
12,26,57,111
13,26,53,115
14,29,52,116
15,29,46,108
16,32,42,108
17,34,44,110
18,36,43,114
19,35,39,115
20,33,39,118
21,30,35,116
22,34,33,157
23,38,26,170
24,37,25,184
25,38,24,197
26,40,20,206
27,46,17,201
28,49,13,219
29,45,12,248
30,50,12,251
31,48,11,259
32,49,11,254
33,48,11,258
34,49,10,267
35,47,11,263
36,44,11,283
37,41,9,285
38,33,9,282
39,33,10,285
40,33,9,298
41,35,9,294
42,30,8,296
43,33,10,300
44,28,7,298
45,28,7,312
46,32,7,316
47,29,8,317
48,29,6,316
49,27,6,312
50,23,6,312
51,22,7,320
52,20,7,320
53,17,7,315
54,16,7,316
55,20,8,320
56,14,10,324
57,14,10,320
58,11,12,321
59,10,12,322
60,9,14,315
61,8,14,318
62,3,13,319
63,1,13,319
64,1,15,315
65,1,16,310
66,1,17,306
67,1,19,307
68,2,18,299
69,2,20,293
70,2,19,290
71,2,19,284
72,2,20,285
73,2,25,284
74,2,28,280
75,2,29,273
76,2,26,269
77,2,30,258
78,2,30,256
79,2,32,249
80,2,34,237
81,2,35,237
82,2,34,235
83,3,37,228
84,3,41,218
85,3,43,215
86,3,48,205
87,3,48,201
88,3,51,200
89,3,53,186
90,3,52,183
91,3,53,172
92,4,55,163
93,4,58,160
94,4,60,149
95,4,55,138
96,3,52,136
97,3,49,140
98,3,47,148
99,3,49,151
100,3,48,140
101,3,51,144
102,3,48,131
103,3,49,145
104,4,50,144
105,4,46,128
106,4,46,126
107,4,50,124
108,4,58,124
109,6,61,138
110,4,59,128
111,4,55,152
112,4,56,140
113,5,55,141
114,8,51,158
115,8,51,142
116,8,51,160
117,8,57,147
118,8,61,152
119,10,57,151
120,13,58,145
121,12,49,131
122,12,51,133
123,13,56,141
124,13,51,142
125,12,54,147
126,7,58,153
127,10,55,134
128,11,54,135
129,11,54,151
130,12,50,140
131,13,45,146
132,13,43,149
133,13,40,150
134,13,38,142
135,13,37,154
136,13,39,156
137,13,34,145
138,15,35,166
139,15,32,163
140,16,32,172
141,17,32,178
142,17,32,171
143,14,40,189
144,15,39,180
145,18,34,198
146,20,38,196
147,20,36,185
148,18,37,206
149,21,36,202
150,21,36,204
151,20,32,203
152,18,36,190
153,20,37,189
154,19,37,199
155,20,39,205
156,19,38,194
157,20,34,198
158,21,31,195
159,24,30,197
160,25,31,192
161,21,30,190
162,20,29,191
163,21,29,185
164,22,29,194
165,22,29,195
166,22,29,187
167,23,29,183
168,21,31,183
169,16,31,194
170,15,34,191
171,17,31,195
172,15,29,198
173,17,31,200
174,17,27,192
175,16,29,193
176,18,31,201
177,17,31,192
178,17,27,203
179,12,28,203
180,12,29,207
181,14,29,201
182,13,30,204
183,12,30,207
184,10,24,227
185,12,27,225
186,12,25,220
187,12,24,233
188,12,27,236
189,13,29,242
190,14,27,247
191,16,28,246
192,19,22,239
193,19,21,247
194,17,22,240
195,17,26,238
196,16,23,235
197,19,21,240
198,15,19,246
199,17,19,245
200,15,21,260
201,19,24,249
202,15,26,257
203,14,28,241
204,13,29,236
205,12,28,234
206,13,29,226
207,15,30,227
208,16,29,224
209,16,32,222
210,19,30,208
211,20,29,205
212,18,28,213
213,16,28,208
214,12,28,218
215,14,28,208
216,13,30,207
217,11,33,209
218,12,33,206
219,13,33,208
220,13,32,200
221,14,34,205
222,14,33,197
223,16,35,188
224,17,35,194
225,19,33,207
226,16,35,201
227,17,35,213
228,17,37,194
229,21,36,191
230,21,34,201
231,20,32,192
232,21,31,202
233,21,32,199
234,19,33,191
235,19,33,203
236,20,31,190
237,17,32,188
238,19,36,200
239,19,33,191
240,15,34,183
241,13,34,186
242,14,27,192
243,14,32,201
244,14,30,210
245,15,32,214
246,14,35,210
247,15,30,208
248,16,31,213
